magnitude,date_time,cdi,mmi,alert,tsunami,sig,magType,depth,latitude,longitude
6.5,16-08-2023 12:47,7,4,green,0,657,mww,192.955,-13.8814,167.158
6.5,19-07-2023 00:22,8,6,yellow,0,775,mww,69.727,12.814,-88.1265
6.6,17-07-2023 03:05,7,5,green,0,899,mww,171.371,-38.1911,-70.3731
7.2,16-07-2023 06:48,6,6,green,1,860,mww,32.571,54.3844,-160.699
7.3,16-07-2023 06:48,0,5,,1,820,Mi,21,54.49,-160.796
6.6,10-07-2023 20:28,5,4,green,1,802,mww,10,20.0196,-61.0955
6.9,02-07-2023 10:27,4,4,green,1,741,mww,229,-17.853,-174.937
7.2,15-06-2023 18:06,8,6,green,1,804,mww,167.404,-22.9824,-177.208
6.6,25-05-2023 03:05,6,6,green,1,733,mww,10,8.8894,-77.1231
7.1,20-05-2023 01:51,3,4,green,1,777,mww,35.981,-23.0622,170.456
7.7,19-05-2023 02:57,5,4,green,1,927,mww,18.027,-23.2286,170.694
7.6,10-05-2023 16:02,8,6,green,1,907,mww,210.097,-15.6002,-174.608
6.6,28-04-2023 03:13,0,2,green,0,670,mww,598.467,-25.2657,178.424
7.1,24-04-2023 20:00,9,7,green,0,838,mww,15.462,-0.781,98.5339
7.1,24-04-2023 00:41,8,7,green,1,777,mww,43.063,-30.0249,-177.897
6.7,18-04-2023 04:31,0,3,green,1,691,mww,595.854,-22.2844,179.391
7,14-04-2023 09:55,5,3,green,0,818,mww,594.028,-6.0255,112.033
6.5,03-04-2023 03:06,7,6,yellow,1,655,mww,105.631,52.7772,158.484
7,02-04-2023 18:04,7,7,green,1,781,mww,62.603,-4.2924,143.155
6.5,22-03-2023 16:00,4,4,green,0,656,mww,209.976,-23.4797,-66.5108
6.5,21-03-2023 16:47,7,5,green,0,1350,mww,187.589,36.5227,70.9787
6.8,18-03-2023 17:12,9,7,orange,1,1159,mww,65.842,-2.851,-79.8001
7,16-03-2023 00:56,8,5,green,1,756,mww,22.065,-30.1147,-176.112
6.9,04-03-2023 06:41,5,5,green,1,735,mww,205.681,-29.4748,-178.787
6.5,02-03-2023 18:04,7,6,green,1,653,mww,10,-15.3597,166.385
6.5,01-03-2023 05:36,4,2,green,1,652,mww,598.925,-4.8138,149.487
6.8,23-02-2023 00:37,9,7,green,0,737,mww,20.522,38.0726,73.2077
7.5,06-02-2023 10:24,9,9,orange,0,1411,mww,10,38.0235,37.203
6.7,06-02-2023 01:28,9,8,yellow,0,800,mww,14.497,37.4135,36.8306
7.8,06-02-2023 01:17,9,9,red,0,2910,mww,17.925,37.2012,36.9997
6.8,20-01-2023 22:09,4,3,green,0,718,mww,610.671,-26.7209,-63.0394
7,18-01-2023 06:06,3,5,green,1,756,mwc,28.566,2.7401,127.051
7.6,09-01-2023 17:47,5,7,green,0,957,mww,105.249,-7.0852,130.039
7,08-01-2023 12:32,8,7,green,1,768,mww,29,-14.9383,166.878
6.8,04-12-2022 19:24,5,5,green,1,720,mww,38,-15.3983,-172.968
7,22-11-2022 02:03,8,7,green,1,768,mww,14,-9.7963,159.596
6.9,18-11-2022 13:37,4,4,green,0,735,mww,25,-4.9559,100.738
7,12-11-2022 07:09,3,3,green,1,755,mww,579,-20.0508,-178.346
7.3,11-11-2022 10:48,5,5,green,1,833,mww,37,-19.2918,-172.129
6.6,09-11-2022 10:14,0,2,green,1,670,mww,624.464,-25.5948,178.278
7,09-11-2022 09:51,4,3,green,1,755,mwb,660,-26.0442,178.381
6.8,09-11-2022 09:38,1,3,green,1,711,mww,630.379,-25.9678,178.363
6.7,20-10-2022 11:57,7,6,green,1,797,mww,20,7.6712,-82.3396
6.8,22-09-2022 06:16,8,7,yellow,1,1179,mww,20,18.33,-102.913
7.6,19-09-2022 18:05,9,8,yellow,1,1799,mww,26.943,18.3667,-103.252
6.9,18-09-2022 06:44,9,9,yellow,1,887,mww,10,23.1444,121.307
6.5,17-09-2022 13:41,7,7,green,1,756,mww,10,23.029,121.348
7,14-09-2022 11:04,7,5,green,1,761,mww,137,-21.2077,170.239
7.6,10-09-2022 23:47,8,8,yellow,1,965,mww,116,-6.2237,146.471
6.6,05-09-2022 04:52,9,8,orange,0,1043,mww,12,29.7263,102.279
6.6,14-08-2022 13:44,7,6,green,1,672,mww,30,-32.6922,-178.959
7,27-07-2022 00:43,9,8,yellow,1,1351,mww,33.729,17.5978,120.809
6.5,08-06-2022 00:55,3,2,green,0,653,mww,622.73,-9.0618,-71.1647
